timestamp,team,ltp,delta,rolling_avg,volatility,signal,prediction
1735709147159,Wellington Firebirds,10.0,3.8,6.26,2.151,SPIKE,DOWN
1735709207146,Northern Brave,1.06,-0.05,1.174,0.086,SPIKE,UP
1735709207146,Wellington Firebirds,17.5,7.5,8.76,5.292,SPIKE,DOWN
1735709266986,Northern Brave,1.07,0.01,1.14,0.087,SPIKE,UP
1735709266986,Wellington Firebirds,15.0,-2.5,10.74,5.43,SPIKE,DOWN
1735709387110,Northern Brave,1.06,-0.01,1.1,0.06,SPIKE,UP
1735709387110,Wellington Firebirds,17.5,2.5,13.24,4.986,SPIKE,DOWN
1735709447065,Northern Brave,1.08,0.02,1.076,0.021,,DOWN
1735709447065,Wellington Firebirds,13.5,-4.0,14.7,3.134,SPIKE,UP
1735709507016,Northern Brave,1.07,-0.01,1.068,0.008,,DOWN
1735709507016,Wellington Firebirds,15.0,1.5,15.7,1.754,SPIKE,UP
1735709567039,Northern Brave,1.09,0.02,1.074,0.011,,DOWN
1735709567039,Wellington Firebirds,12.5,-2.5,14.7,1.891,SPIKE,UP
1735709627125,Northern Brave,1.07,-0.02,1.074,0.011,,UP
